Location,Crop,Rainfall,Temperature,Humidity,Date,Crop_Price
Chittoor,Chilli,988,25,63,Feb-20,104.4
Chittoor,Chilli,735,24,55,Feb-20,87.5
Chittoor,Chilli,1139,33,61,Feb-20,98.1
Chittoor,Chilli,768,31,66,Mar-20,93.1
Chittoor,Chilli,914,31,70,Mar-20,73.7
Chittoor,Chilli,1097,31,60,Mar-20,75.7
Chittoor,Chilli,1142,20,59,Mar-20,90.9
Chittoor,Chilli,839,33,52,Mar-20,84.3
Chittoor,Chilli,679,28,66,Apr-20,101.2
Chittoor,Chilli,731,26,60,Apr-20,85
Chittoor,Chilli,718,29,55,Apr-20,94.3
Chittoor,Chilli,893,29,56,Apr-20,96.5
Chittoor,Chilli,908,20,61,Apr-20,99.5
Chittoor,Chilli,1123,26,66,May-20,105.2
Chittoor,Chilli,1044,25,60,May-20,106.1
Chittoor,Chilli,713,20,52,May-20,94.8
Chittoor,Chilli,755,26,64,May-20,101.8
Chittoor,Chilli,1130,28,55,May-20,93.5
Chittoor,Chilli,695,22,57,Jun-20,102
Chittoor,Chilli,1174,31,55,Jun-20,108.2
Chittoor,Chilli,956,33,51,Jun-20,115.5
Chittoor,Chilli,998,28,65,Jun-20,104.3
Chittoor,Chilli,781,27,70,Jun-20,112
Chittoor,Chilli,1163,24,62,Jul-20,130.6
Chittoor,Chilli,862,25,56,Jul-20,110.7
Chittoor,Chilli,957,21,55,Jul-20,114.6
Chittoor,Chilli,966,24,57,Jul-20,113.9
Chittoor,Chilli,1142,21,53,Jul-20,130
Chittoor,Chilli,907,26,69,Aug-20,138.2
Chittoor,Chilli,1017,32,68,Aug-20,128.3
Chittoor,Chilli,927,30,53,Aug-20,118.5
Chittoor,Chilli,651,22,51,Aug-20,121.3
Chittoor,Chilli,782,24,69,Aug-20,128.1
Chittoor,Chilli,910,20,57,Sep-20,129.7
Chittoor,Chilli,926,23,64,Sep-20,137.8
Chittoor,Chilli,1039,30,58,Sep-20,125
Chittoor,Chilli,783,27,56,Sep-20,119.6
Chittoor,Chilli,728,23,59,Sep-20,128.7
Chittoor,Chilli,930,22,58,Oct-20,121.7
Chittoor,Chilli,833,23,70,Oct-20,124.2
Chittoor,Chilli,658,20,60,Oct-20,119.2
Chittoor,Chilli,946,29,70,Oct-20,124.4
Chittoor,Chilli,1093,33,58,Oct-20,121.8
Chittoor,Chilli,1012,30,60,Nov-20,112.7
Chittoor,Chilli,653,22,64,Nov-20,110
Chittoor,Chilli,725,32,50,Nov-20,104.3
Chittoor,Chilli,786,27,67,Nov-20,114.6
Chittoor,Chilli,1101,26,51,Nov-20,115
Chittoor,Chilli,1092,33,54,Dec-20,91.1
Chittoor,Chilli,783,28,62,Dec-20,107.7
Chittoor,Chilli,811,21,66,Dec-20,113.9
Chittoor,Chilli,602,29,61,Dec-20,106.5
Chittoor,Chilli,1176,30,56,Dec-20,109.9
Chittoor,Chilli,998,28,59,Jan-21,107.6
Chittoor,Chilli,1083,32,50,Jan-21,103.2
Chittoor,Chilli,731,32,62,Jan-21,104.4
Chittoor,Chilli,752,24,59,Jan-21,104.7
Chittoor,Chilli,652,26,62,Jan-21,107.5
Chittoor,Chilli,989,20,60,Feb-21,84.8
Chittoor,Chilli,633,31,62,Feb-21,104.7
Chittoor,Chilli,848,27,61,Feb-21,84
Chittoor,Chilli,1196,24,58,Feb-21,100.5
Chittoor,Chilli,1187,25,62,Feb-21,87.5
Chittoor,Chilli,946,21,63,Mar-21,85.5
Chittoor,Chilli,883,30,52,Mar-21,93.3
Chittoor,Chilli,1142,22,51,Mar-21,94.9
Chittoor,Chilli,1141,22,57,Mar-21,96.9
Chittoor,Chilli,813,32,50,Mar-21,92
Chittoor,Chilli,1121,24,64,Apr-21,90.8
Chittoor,Chilli,1107,21,68,Apr-21,92.8
Chittoor,Chilli,1183,30,63,Apr-21,85.5
Chittoor,Chilli,1191,28,50,Apr-21,100.9
Chittoor,Chilli,899,25,50,Apr-21,92.2
Chittoor,Chilli,831,33,62,May-21,100.1
Chittoor,Chilli,1059,25,55,May-21,111.8
Chittoor,Chilli,889,30,61,May-21,94.1
Chittoor,Chilli,942,29,53,May-21,97.3
Chittoor,Chilli,926,29,55,May-21,91.3
Chittoor,Chilli,960,22,62,Jun-21,120.8
Chittoor,Chilli,736,32,62,Jun-21,111
Chittoor,Chilli,833,25,59,Jun-21,113.5
Chittoor,Chilli,1146,23,63,Jun-21,108.7
Chittoor,Chilli,1166,27,58,Jun-21,100.5
Chittoor,Chilli,1023,28,63,Jul-21,109.6
Chittoor,Chilli,634,21,52,Jul-21,128.1
Chittoor,Chilli,1052,25,68,Jul-21,116.4
Chittoor,Chilli,1183,33,53,Jul-21,119.5
Chittoor,Chilli,972,24,57,Jul-21,114.4
Chittoor,Chilli,773,22,68,Aug-21,121.6
Chittoor,Chilli,1150,24,66,Aug-21,136.1
Chittoor,Chilli,847,20,66,Aug-21,124.5
Chittoor,Chilli,775,21,58,Aug-21,135
Chittoor,Chilli,958,27,50,Aug-21,124.8
Chittoor,Chilli,973,27,58,Sep-21,128
Chittoor,Chilli,669,29,51,Sep-21,137.5
Chittoor,Chilli,1094,29,63,Sep-21,143.1
Chittoor,Chilli,796,30,56,Sep-21,139.5
Chittoor,Chilli,695,30,59,Sep-21,133.2
Chittoor,Chilli,1029,30,68,Oct-21,122.6
Chittoor,Chilli,681,20,59,Oct-21,128
Chittoor,Chilli,868,28,68,Oct-21,121.6
Chittoor,Chilli,806,33,68,Oct-21,120.7
Chittoor,Chilli,1098,26,64,Oct-21,121.6
Chittoor,Chilli,874,33,64,Nov-21,107.1
Chittoor,Chilli,1075,29,50,Nov-21,117.5
Chittoor,Chilli,1034,20,61,Nov-21,105.4
Chittoor,Chilli,1123,26,62,Nov-21,111.6
Chittoor,Chilli,774,28,53,Nov-21,122.7
Chittoor,Chilli,894,25,64,Dec-21,105.9
Chittoor,Chilli,679,22,70,Dec-21,101.3
Chittoor,Chilli,1091,26,64,Dec-21,102.4
Chittoor,Chilli,794,23,70,Dec-21,107.3
Chittoor,Chilli,1076,27,65,Dec-21,94
Chittoor,Chilli,937,21,64,Jan-22,110.5
Chittoor,Chilli,888,28,57,Jan-22,104.4
Chittoor,Chilli,729,26,64,Jan-22,94
Chittoor,Chilli,1190,24,68,Jan-22,96.5
Chittoor,Chilli,820,23,65,Jan-22,95.1
Chittoor,Chilli,1099,30,55,Feb-22,97.2
Chittoor,Chilli,1023,31,61,Feb-22,90.7
Chittoor,Chilli,872,32,57,Feb-22,83.1
Chittoor,Chilli,827,20,66,Feb-22,84.9
Chittoor,Chilli,1107,21,68,Feb-22,103.4
Chittoor,Chilli,906,30,64,Mar-22,77.2
Chittoor,Chilli,705,26,66,Mar-22,76.4
Chittoor,Chilli,867,33,63,Mar-22,81.8
Chittoor,Chilli,951,21,67,Mar-22,82.2
Chittoor,Chilli,1048,23,63,Mar-22,85.2
Chittoor,Chilli,930,31,65,Apr-22,96.5
Chittoor,Chilli,630,21,59,Apr-22,99.1
Chittoor,Chilli,927,21,56,Apr-22,82.2
Chittoor,Chilli,1186,32,69,Apr-22,87.4
Chittoor,Chilli,1008,25,59,Apr-22,94.1
Chittoor,Chilli,1006,22,55,May-22,99.4
Chittoor,Chilli,945,23,52,May-22,94.6
Chittoor,Chilli,1164,24,55,May-22,103.6
Chittoor,Chilli,1098,32,64,May-22,98
Chittoor,Chilli,1014,23,62,May-22,107.1
Chittoor,Chilli,1109,32,63,Jun-22,99.4
Chittoor,Chilli,730,31,69,Jun-22,111.4
Chittoor,Chilli,835,26,63,Jun-22,111.4
Chittoor,Chilli,873,29,70,Jun-22,107.8
Chittoor,Chilli,918,22,60,Jun-22,119.9
Chittoor,Chilli,953,22,60,Jul-22,133.2
Chittoor,Chilli,657,28,60,Jul-22,133.9
Chittoor,Chilli,1085,31,55,Jul-22,120.8
Chittoor,Chilli,1109,27,65,Jul-22,122
Chittoor,Chilli,1074,20,70,Jul-22,110.1
Chittoor,Chilli,711,31,61,Aug-22,124.6
Chittoor,Chilli,981,24,50,Aug-22,134.1
Chittoor,Chilli,1076,23,69,Aug-22,126.3
Chittoor,Chilli,1035,28,62,Aug-22,120.1
Chittoor,Chilli,676,24,63,Aug-22,122.2
Chittoor,Chilli,630,24,66,Sep-22,121.9
Chittoor,Chilli,906,32,56,Sep-22,128.3
Chittoor,Chilli,628,25,66,Sep-22,137
Chittoor,Chilli,684,21,53,Sep-22,139.8
Chittoor,Chilli,1106,29,52,Sep-22,132.4
Chittoor,Chilli,663,31,50,Oct-22,130
Chittoor,Chilli,748,31,52,Oct-22,123.3
Chittoor,Chilli,899,27,52,Oct-22,125.9
Chittoor,Chilli,778,29,56,Oct-22,130
Chittoor,Chilli,1023,32,58,Oct-22,129.2
Chittoor,Chilli,710,30,68,Nov-22,107.7
Chittoor,Chilli,1015,27,56,Nov-22,115.3
Chittoor,Chilli,878,20,61,Nov-22,113.5
Chittoor,Chilli,1020,23,69,Nov-22,107.5
Chittoor,Chilli,692,30,59,Nov-22,113
Chittoor,Chilli,790,33,66,Dec-22,92.7
Chittoor,Chilli,1021,23,55,Dec-22,114.5
Chittoor,Chilli,864,21,64,Dec-22,108.1
Chittoor,Chilli,962,22,53,Dec-22,98.5
Chittoor,Chilli,889,26,66,Dec-22,95.4
Chittoor,Chilli,1004,25,58,Jan-23,105.5
Chittoor,Chilli,625,23,52,Jan-23,92.7
Chittoor,Chilli,971,24,56,Jan-23,108.9
Chittoor,Chilli,1018,22,60,Jan-23,106.9
Chittoor,Chilli,825,33,55,Jan-23,110.8
Chittoor,Chilli,686,27,67,Feb-23,92.6
Chittoor,Chilli,1024,30,55,Feb-23,94.2
Chittoor,Chilli,1157,24,53,Feb-23,104.9
Chittoor,Chilli,878,31,62,Feb-23,84.5
Chittoor,Chilli,812,24,70,Feb-23,96.4
Chittoor,Chilli,885,28,67,Mar-23,92.9
Chittoor,Chilli,676,20,64,Mar-23,90.7
Chittoor,Chilli,1156,33,57,Mar-23,76.1
Chittoor,Chilli,663,21,61,Mar-23,84.1
Chittoor,Chilli,660,25,67,Mar-23,74.2
Chittoor,Chilli,659,22,67,Apr-23,99.3
Chittoor,Chilli,859,27,68,Apr-23,90.3
Chittoor,Chilli,1097,20,59,Apr-23,94.3
Chittoor,Chilli,1068,29,69,Apr-23,97
Chittoor,Chilli,1011,22,66,Apr-23,98.8
Chittoor,Chilli,767,23,69,May-23,103.7
Chittoor,Chilli,820,21,57,May-23,101.6
Chittoor,Chilli,1047,30,58,May-23,91.9
Chittoor,Chilli,1136,32,60,May-23,98.1
Chittoor,Chilli,946,29,67,May-23,104.1
Chittoor,Chilli,614,24,70,Jun-23,116.8
Chittoor,Chilli,698,33,60,Jun-23,115.3
Chittoor,Chilli,719,21,52,Jun-23,112.5
Chittoor,Chilli,792,24,54,Jun-23,121.1
Chittoor,Chilli,708,30,67,Jun-23,104.1
Chittoor,Chilli,912,29,51,Jul-23,116
Chittoor,Chilli,1084,21,58,Jul-23,131.3
Chittoor,Chilli,864,22,63,Jul-23,111.5
Chittoor,Chilli,834,20,67,Jul-23,115.3
Chittoor,Chilli,1176,21,69,Jul-23,110.6
Chittoor,Chilli,1197,25,56,Aug-23,133.8
Chittoor,Chilli,910,30,70,Aug-23,124.7
Chittoor,Chilli,1135,30,53,Aug-23,125.2
Chittoor,Chilli,919,21,52,Aug-23,136.7
Chittoor,Chilli,660,33,52,Aug-23,133.3
Chittoor,Chilli,1006,32,61,Sep-23,132.7
Chittoor,Chilli,1039,30,54,Sep-23,120.3
Chittoor,Chilli,664,32,60,Sep-23,127
Chittoor,Chilli,635,20,53,Sep-23,140
Chittoor,Chilli,1069,20,61,Sep-23,141.4
Chittoor,Chilli,1023,28,63,Oct-23,115
Chittoor,Chilli,968,28,51,Oct-23,121.5
Chittoor,Chilli,908,25,52,Oct-23,121.3
Chittoor,Chilli,785,20,53,Oct-23,120.7
Chittoor,Chilli,722,23,62,Oct-23,121.6
Chittoor,Chilli,813,26,65,Nov-23,105.5
Chittoor,Chilli,1170,21,63,Nov-23,113.7
Chittoor,Chilli,842,25,63,Nov-23,118
Chittoor,Chilli,792,29,54,Nov-23,112.6
Chittoor,Chilli,835,25,53,Nov-23,125.3
Chittoor,Chilli,680,32,51,Dec-23,102.2
Chittoor,Chilli,951,27,58,Dec-23,97.4
Chittoor,Chilli,1182,32,56,Dec-23,91.7
Chittoor,Chilli,641,25,61,Dec-23,96.7
Chittoor,Chilli,1200,24,52,Dec-23,97.2
Chittoor,Groundnut,606,27,52,Jan-19,76.22
Chittoor,Groundnut,616,23,53,Jan-19,81.29
Chittoor,Groundnut,959,26,44,Jan-19,76.02
Chittoor,Groundnut,750,21,54,Jan-19,78.76
Chittoor,Groundnut,645,25,56,Jan-19,70.12
Chittoor,Groundnut,954,23,50,Feb-19,71.34
Chittoor,Groundnut,550,25,44,Feb-19,72.79
Chittoor,Groundnut,539,23,54,Feb-19,72.56
Chittoor,Groundnut,869,26,48,Feb-19,69.99
Chittoor,Groundnut,629,23,45,Feb-19,72.67
Chittoor,Groundnut,979,22,57,Mar-19,66.07
Chittoor,Groundnut,815,29,52,Mar-19,74.43
Chittoor,Groundnut,625,29,45,Mar-19,76.5
Chittoor,Groundnut,756,28,41,Mar-19,70.4
Chittoor,Groundnut,637,29,54,Mar-19,68.77
Chittoor,Groundnut,598,21,40,Apr-19,66.57
Chittoor,Groundnut,531,22,43,Apr-19,73.24
Chittoor,Groundnut,809,23,59,Apr-19,70.89
Chittoor,Groundnut,790,24,40,Apr-19,70.01
Chittoor,Groundnut,921,21,53,Apr-19,65.38
Chittoor,Groundnut,814,23,49,May-19,62.36
Chittoor,Groundnut,912,27,58,May-19,64.74
Chittoor,Groundnut,976,21,50,May-19,68.65
Chittoor,Groundnut,812,20,59,May-19,62.94
Chittoor,Groundnut,853,29,47,May-19,63.93
Chittoor,Groundnut,766,28,52,Jun-19,74.76
Chittoor,Groundnut,922,21,51,Jun-19,71.93
Chittoor,Groundnut,719,30,50,Jun-19,69.44
Chittoor,Groundnut,653,23,41,Jun-19,61.28
Chittoor,Groundnut,991,22,53,Jun-19,62.6
Chittoor,Groundnut,849,25,49,Jul-19,73.23
Chittoor,Groundnut,730,30,45,Jul-19,71.97
Chittoor,Groundnut,915,27,40,Jul-19,68.46
Chittoor,Groundnut,860,30,46,Jul-19,77.22
Chittoor,Groundnut,813,28,57,Jul-19,74.78
Chittoor,Groundnut,530,24,58,Aug-19,80.99
Chittoor,Groundnut,580,30,58,Aug-19,71.54
Chittoor,Groundnut,584,26,40,Aug-19,79.22
Chittoor,Groundnut,612,30,41,Aug-19,77.43
Chittoor,Groundnut,989,29,55,Aug-19,71.66
Chittoor,Groundnut,782,28,47,Sep-19,74.78
Chittoor,Groundnut,686,29,55,Sep-19,81.17
Chittoor,Groundnut,836,22,46,Sep-19,77.41
Chittoor,Groundnut,776,24,48,Sep-19,74.18
Chittoor,Groundnut,780,26,51,Sep-19,79.69
Chittoor,Groundnut,769,27,59,Oct-19,74.64
Chittoor,Groundnut,624,26,50,Oct-19,76.71
Chittoor,Groundnut,842,29,51,Oct-19,74.95
Chittoor,Groundnut,813,24,51,Oct-19,87.02
Chittoor,Groundnut,834,21,50,Oct-19,75.67
Chittoor,Groundnut,905,21,55,Nov-19,68.9
Chittoor,Groundnut,631,25,40,Nov-19,75.74
Chittoor,Groundnut,881,28,54,Nov-19,78.41
Chittoor,Groundnut,654,28,54,Nov-19,76.57
Chittoor,Groundnut,645,27,48,Nov-19,73.54
Chittoor,Groundnut,986,26,48,Dec-19,72.51
Chittoor,Groundnut,865,29,45,Dec-19,75.04
Chittoor,Groundnut,779,24,41,Dec-19,77.41
Chittoor,Groundnut,560,25,44,Dec-19,69.32
Chittoor,Groundnut,641,27,49,Dec-19,74.69
Chittoor,Groundnut,806,21,43,Jan-20,77.6
Chittoor,Groundnut,983,20,48,Jan-20,81.62
Chittoor,Groundnut,526,28,58,Jan-20,74.67
Chittoor,Groundnut,557,24,53,Jan-20,79.48
Chittoor,Groundnut,895,20,48,Jan-20,83.16
Chittoor,Groundnut,884,21,41,Feb-20,81.6
Chittoor,Groundnut,651,25,57,Feb-20,76.38
Chittoor,Groundnut,564,22,56,Feb-20,75.09
Chittoor,Groundnut,540,25,50,Feb-20,69.76
Chittoor,Groundnut,923,29,49,Feb-20,73.35
Chittoor,Groundnut,953,30,44,Mar-20,77.82
Chittoor,Groundnut,799,25,55,Mar-20,69.59
Chittoor,Groundnut,547,29,52,Mar-20,70.09
Chittoor,Groundnut,525,24,59,Mar-20,67.19
Chittoor,Groundnut,551,29,49,Mar-20,69.4
Chittoor,Groundnut,894,21,60,Apr-20,63.78
Chittoor,Groundnut,870,28,47,Apr-20,73.93
Chittoor,Groundnut,900,30,50,Apr-20,63.27
Chittoor,Groundnut,557,30,52,Apr-20,66.68
Chittoor,Groundnut,925,21,52,Apr-20,70.68
Chittoor,Groundnut,958,27,47,May-20,59.67
Chittoor,Groundnut,939,22,50,May-20,69.04
Chittoor,Groundnut,752,20,43,May-20,63.84
Chittoor,Groundnut,736,28,54,May-20,63.68
Chittoor,Groundnut,847,20,60,May-20,61.15
Chittoor,Groundnut,989,24,51,Jun-20,63.32
Chittoor,Groundnut,804,23,53,Jun-20,70.43
Chittoor,Groundnut,861,29,57,Jun-20,68.32
Chittoor,Groundnut,625,27,51,Jun-20,71.91
Chittoor,Groundnut,628,24,53,Jun-20,75.55
Chittoor,Groundnut,831,27,57,Jul-20,75.52
Chittoor,Groundnut,850,22,43,Jul-20,71.07
Chittoor,Groundnut,652,22,51,Jul-20,70.87
Chittoor,Groundnut,559,23,58,Jul-20,76.36
Chittoor,Groundnut,817,24,60,Jul-20,78.24
Chittoor,Groundnut,590,27,51,Aug-20,76.07
Chittoor,Groundnut,916,25,57,Aug-20,74.73
Chittoor,Groundnut,776,30,57,Aug-20,71.33
Chittoor,Groundnut,649,28,42,Aug-20,76.29
Chittoor,Groundnut,816,22,59,Aug-20,73.29
Chittoor,Groundnut,767,30,40,Sep-20,75.25
Chittoor,Groundnut,953,30,55,Sep-20,79.47
Chittoor,Groundnut,730,25,60,Sep-20,75.79
Chittoor,Groundnut,760,24,51,Sep-20,78.11
Chittoor,Groundnut,903,25,51,Sep-20,79.54
Chittoor,Groundnut,596,27,54,Oct-20,81.77
Chittoor,Groundnut,663,26,48,Oct-20,84.35
Chittoor,Groundnut,593,27,45,Oct-20,80.78
Chittoor,Groundnut,818,23,42,Oct-20,79.1
Chittoor,Groundnut,683,24,43,Oct-20,73.51
Chittoor,Groundnut,821,21,53,Nov-20,74.36
Chittoor,Groundnut,910,20,42,Nov-20,81.79
Chittoor,Groundnut,709,28,43,Nov-20,73.59
Chittoor,Groundnut,574,30,59,Nov-20,76.86
Chittoor,Groundnut,968,25,40,Nov-20,78.27
Chittoor,Groundnut,537,20,49,Dec-20,81.06
Chittoor,Groundnut,550,21,55,Dec-20,72.82
Chittoor,Groundnut,865,21,41,Dec-20,78.52
Chittoor,Groundnut,800,27,55,Dec-20,80.01
Chittoor,Groundnut,819,28,54,Dec-20,79.88
Chittoor,Groundnut,529,30,41,Jan-21,75.02
Chittoor,Groundnut,897,20,42,Jan-21,72.32
Chittoor,Groundnut,657,24,59,Jan-21,78.14
Chittoor,Groundnut,737,20,47,Jan-21,72.1
Chittoor,Groundnut,728,28,45,Jan-21,73.79
Chittoor,Groundnut,805,21,42,Feb-21,79.81
Chittoor,Groundnut,765,21,59,Feb-21,73.41
Chittoor,Groundnut,883,25,53,Feb-21,74.16
Chittoor,Groundnut,568,29,47,Feb-21,76.67
Chittoor,Groundnut,894,25,49,Feb-21,69.41
Chittoor,Groundnut,884,20,48,Mar-21,66.23
Chittoor,Groundnut,653,30,45,Mar-21,69.93
Chittoor,Groundnut,566,20,59,Mar-21,72.12
Chittoor,Groundnut,820,25,60,Mar-21,66.86
Chittoor,Groundnut,808,27,52,Mar-21,71.55
Chittoor,Groundnut,974,23,60,Apr-21,61.41
Chittoor,Groundnut,547,28,47,Apr-21,71.55
Chittoor,Groundnut,809,28,45,Apr-21,71.76
Chittoor,Groundnut,520,28,49,Apr-21,69.98
Chittoor,Groundnut,542,28,57,Apr-21,65.11
Chittoor,Groundnut,644,21,40,May-21,67.51
Chittoor,Groundnut,615,24,54,May-21,71.13
Chittoor,Groundnut,504,29,46,May-21,65.82
Chittoor,Groundnut,876,20,53,May-21,68.87
Chittoor,Groundnut,610,28,46,May-21,69.36
Chittoor,Groundnut,748,25,58,Jun-21,74.19
Chittoor,Groundnut,954,30,49,Jun-21,61.71
Chittoor,Groundnut,800,25,40,Jun-21,70.19
Chittoor,Groundnut,779,23,41,Jun-21,65.46
Chittoor,Groundnut,769,30,60,Jun-21,69.48
Chittoor,Groundnut,512,27,48,Jul-21,69.97
Chittoor,Groundnut,578,20,44,Jul-21,65.25
Chittoor,Groundnut,857,27,59,Jul-21,68.25
Chittoor,Groundnut,791,26,60,Jul-21,70.85
Chittoor,Groundnut,795,20,45,Jul-21,70.69
Chittoor,Groundnut,991,20,49,Aug-21,78.33
Chittoor,Groundnut,706,24,47,Aug-21,74.63
Chittoor,Groundnut,765,29,60,Aug-21,68.59
Chittoor,Groundnut,767,21,55,Aug-21,72.48
Chittoor,Groundnut,778,29,58,Aug-21,81.1
Chittoor,Groundnut,899,26,59,Sep-21,74.98
Chittoor,Groundnut,764,27,44,Sep-21,74.7
Chittoor,Groundnut,961,26,45,Sep-21,79.61
Chittoor,Groundnut,567,30,40,Sep-21,69.55
Chittoor,Groundnut,700,28,40,Sep-21,78.4
Chittoor,Groundnut,599,22,56,Oct-21,76.89
Chittoor,Groundnut,782,20,46,Oct-21,82.76
Chittoor,Groundnut,921,27,47,Oct-21,73.02
Chittoor,Groundnut,625,28,51,Oct-21,80.7
Chittoor,Groundnut,892,21,42,Oct-21,78.28
Chittoor,Groundnut,562,24,51,Nov-21,82.18
Chittoor,Groundnut,765,24,45,Nov-21,77.94
Chittoor,Groundnut,776,21,43,Nov-21,73.99
Chittoor,Groundnut,583,25,46,Nov-21,72.55
Chittoor,Groundnut,976,26,55,Nov-21,80.62
Chittoor,Groundnut,592,30,53,Dec-21,69.13
Chittoor,Groundnut,805,23,57,Dec-21,69.88
Chittoor,Groundnut,707,23,50,Dec-21,75.47
Chittoor,Groundnut,717,29,50,Dec-21,69.54
Chittoor,Groundnut,537,29,40,Dec-21,69.48
Chittoor,Groundnut,622,26,56,Jan-22,80.12
Chittoor,Groundnut,750,26,42,Jan-22,75.15
Chittoor,Groundnut,525,20,50,Jan-22,77.86
Chittoor,Groundnut,957,21,41,Jan-22,72.44
Chittoor,Groundnut,558,22,43,Jan-22,67.81
Chittoor,Groundnut,800,21,44,Feb-22,77.47
Chittoor,Groundnut,902,24,46,Feb-22,80.25
Chittoor,Groundnut,614,22,46,Feb-22,82.36
Chittoor,Groundnut,600,21,48,Feb-22,75.85
Chittoor,Groundnut,941,28,60,Feb-22,73.34
Chittoor,Groundnut,718,30,44,Mar-22,71.79
Chittoor,Groundnut,797,24,41,Mar-22,76.65
Chittoor,Groundnut,913,27,56,Mar-22,75.15
Chittoor,Groundnut,600,24,57,Mar-22,71.61
Chittoor,Groundnut,686,30,43,Mar-22,74.25
Chittoor,Groundnut,631,30,51,Apr-22,65.44
Chittoor,Groundnut,700,20,53,Apr-22,72.97
Chittoor,Groundnut,611,22,46,Apr-22,68.07
Chittoor,Groundnut,817,27,47,Apr-22,70.42
Chittoor,Groundnut,694,23,42,Apr-22,73.27
Chittoor,Groundnut,588,29,44,May-22,69.62
Chittoor,Groundnut,873,24,40,May-22,64.74
Chittoor,Groundnut,518,20,42,May-22,67.44
Chittoor,Groundnut,545,29,47,May-22,73.03
Chittoor,Groundnut,965,25,50,May-22,65.73
Chittoor,Groundnut,768,22,41,Jun-22,67.69
Chittoor,Groundnut,732,21,59,Jun-22,72.12
Chittoor,Groundnut,637,30,44,Jun-22,72.37
Chittoor,Groundnut,571,29,48,Jun-22,60.96
